cretria,Dataset1,Dataset2,Dataset3,Dataset4,Dataset5,Dataset6,Dataset7
accuracy,0.82280789,0.926639816,0.98245614,0.785714286,0.980769231,0.924050633,0.943471736
precision_score,,,,,,,0.937899013
